date,time,full_address,formatted_address,lat,lng,gender,race,idot,verbal_warning,citation_issued,num_citations,search,arrested,dawn,sunrise,noon,sunset,dusk
2016-01-09,10:34:00,"1100 E 57th, Chicago, IL","1100 E 57th St, Chicago, IL 60637, USA",41.792279,-87.599954,Male,Caucasian,Traffic Sign/Signal,1,0,0.0,No,0,06:45:59.370807,07:17:41.444787,11:57:05,16:37:20.446351,17:09:03.026167
2016-01-12,16:16:00,"5800 S. Woodlawn, Chicago, IL","5800 S Woodlawn Ave, Chicago, IL 60637, USA",41.78958250000001,-87.59670229999999,Female,Caucasian,Lane Violation,1,0,0.0,No,0,06:45:22.207699,07:16:53.496115,11:58:17,16:40:33.210158,17:12:05.096303
2016-01-14,10:28:00,"5700 S. University, Chicago, IL","5700 S University Ave, Chicago, IL 60637, USA",41.7914067,-87.5980738,Male,Asian,Lane Violation,1,0,0.0,No,0,06:44:47.906935,07:16:11.560656,11:59:04,16:42:47.414359,17:14:11.729627
2016-01-14,20:14:00,"6100 S. University, Chicago, IL","6100 S University Ave, Chicago, IL 60637, USA",41.783983,-87.5981345,Female,African American,Lane Violation,1,0,0.0,No,0,06:44:46.891049,07:16:10.283096,11:59:04,16:42:48.717312,17:14:12.770460
2016-01-21,20:49:00,"6000 S Drexel, Chicago, IL","6000 S Drexel Ave, Chicago, IL 60637, USA",41.7858787,-87.6044278,Male,African American,Traffic Sign/Signal,0,1,1.0,No,0,06:41:39.299117,07:12:33.147280,12:01:25,16:51:06.840243,17:22:01.589711
2016-01-22,19:32:00,"5626 S Blackstone, Chicago, IL","5626 S Blackstone Ave, Chicago, IL 60637, USA",41.7925298,-87.590722,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:41:01.438325,07:11:51.041279,12:01:39,16:52:16.222415,17:23:06.763900
2016-01-26,22:42:00,"5500 Dorchester, Chicago, IL","5500 S Dorchester Ave, Chicago, IL 60637, USA",41.7944548,-87.59166259999999,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:38:20.142597,07:08:51.634385,12:02:41,16:57:15.839490,17:27:48.423543
2016-01-30,02:41:00,"5100 Drexel Ave, Chicago, IL","5100 S Drexel Ave, Chicago, IL 60615, USA",41.8020004,-87.603916,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:35:11.119450,07:05:24.540169,12:03:32,17:02:22.763197,17:32:37.441829
2016-02-05,18:16:00,"5950 S Woodlawn, Chicago, IL","5950 S Woodlawn Ave, Chicago, IL 60637, USA",41.7859971,-87.596333,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:29:24.172074,06:59:10.298170,12:04:18,17:10:04.767648,17:39:52.420405
2016-02-05,21:25:00,"6200 S Stony Island, Chicago, IL","6200 S Stony Island Ave, Chicago, IL 60637, USA",41.782257,-87.58686999999999,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:29:21.555947,06:59:07.568845,12:04:16,17:10:02.951104,17:39:50.490263
2016-02-07,13:32:00,"5730 S University, Chicago, IL","5730 S University Ave, Chicago, IL 60637, USA",41.7904129,-87.59828159999999,Female,African American,Lane Violation,1,0,0.0,No,0,06:27:16.999460,06:56:54.692843,12:04:28,17:12:38.611454,17:42:17.928513
2016-02-07,17:48:00,"1236 E 53rd, Chicago, IL","1236 E 53rd St, Chicago, IL 60615, USA",41.8000101,-87.5953984,Male,African American,Moving Violation - Other,0,1,1.0,No,0,06:27:17.149660,06:56:55.130124,12:04:27,17:12:36.799111,17:42:16.404315
2016-02-10,17:05:00,"5300 S Hyde Park, Chicago, IL","5300 S Hyde Park Blvd, Chicago, IL 60615, USA",41.7992939,-87.5844443,Male,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:23:50.469868,06:53:16.059237,12:04:33,17:16:24.440698,17:45:51.805840
2016-02-13,13:38:00,"5700 S Ellis, Chicago, IL","5700 S Ellis Ave, Chicago, IL 60637, USA",41.7913737,-87.60130180000002,Female,African American,Moving Violation - Other,1,0,0.0,No,0,06:20:16.512022,06:49:30.195198,12:04:38,17:20:18.029538,17:49:33.646254
2016-02-13,20:16:00,"5400 Lake Park, Chicago, IL","5400 S Lake Park Ave, Chicago, IL 60615, USA",41.796979,-87.58787500000001,Female,African American,Traffic Sign/Signal,1,0,0.0,No,0,06:20:13.696584,06:49:27.541321,12:04:35,17:20:14.244368,17:49:30.023336
2016-02-14,00:53:00,"6000 Cottage Grove, Chicago, IL","6000 S Cottage Grove Ave, Chicago, IL 60637, USA",41.786734,-87.6075876,Male,Asian,Lane Violation,1,0,0.0,No,0,06:19:02.409597,06:48:12.241764,12:04:38,17:21:35.809468,17:50:47.629205
